"Title","Sex","Age","Skinny","Date_Time"
"143",NA,"Adult","No",1990-06-17
"143",NA,"Adult","No",1997-06-21
"143",NA,"Adult","No",1997-08-16
"143",NA,"Adult","No",1997-08-18
"143",NA,"Adult","No",2006-08-03
"1435",NA,"Adult","No",1998-07-20
"1435",NA,"Adult","No",1998-07-21
"1436",NA,"Juvenile","No",1998-07-20
"1438",NA,"Adult","No",1998-07-19
"1438",NA,"Adult","No",1998-07-20
"1438",NA,"Adult","No",1998-07-29
"1438",NA,"Adult","No",1999-07-13
"144",NA,"Adult","No",1989-08-11
"1442",NA,"Adult","No",1998-07-20
"1445",NA,"Adult","No",1998-07-20
"145",NA,"Juvenile","No",1989-08-11
"1450","FemaleJ","Adult","No",1998-07-20
"1450","FemaleJ","Adult","No",1998-07-22
"1451","FemaleJ","Adult","No",1998-07-20
"1451","FemaleJ","Adult","No",1998-07-22
"1452","FemaleJ","Adult","No",1998-07-20
"1452","FemaleJ","Adult","No",1998-07-22
"1458","Male","Adult","No",1998-07-26
"1458","Male","Adult","No",1998-07-27
"1458","Male","Adult","No",2002-08-28
"1458","Male","Adult","No",2006-08-03
"1458","Male","Adult","No",2010-07-24
"1458","Male","Adult","No",2010-07-31
"1458","Male","Adult","No",2011-07-24
"1458","Male","Adult","No",2011-08-15
"1458","Male","Adult","No",2011-08-17
"1458","Male","Adult","No",2011-08-18
"1458","Male","Adult","No",2011-08-22
"1458","Male","Adult","No",2016-07-22
"1458","Male","Adult","No",2018-05-17
"1458","Male","Adult","No",2018-08-16
"146",NA,"Adult","No",1989-08-11
"146",NA,"Adult","No",1989-08-12
"1461","Male","Adult","No",1998-07-20
"1461","Male","Adult","No",1998-07-22
"1461","Male","Adult","No",1998-07-26
"1461","Male","Adult","No",1998-07-29
"1461","Male","Adult","No",1999-08-11
"1461","Male","Adult","No",1999-08-12
"1461","Male","Adult","No",1999-08-13
"1466","FemaleJ","Juvenile","No",1998-07-22
"1469","FemaleJ","Adult","No",1998-07-22
"1469","FemaleJ","Adult","No",1998-07-27
"1469","FemaleJ","Adult","No",1998-07-28
"1469","FemaleJ","Adult","No",1998-08-08
"1469","FemaleJ","Adult","No",1999-07-13
"1469","FemaleJ","Adult","No",1999-07-15
"1469","FemaleJ","Adult","No",1999-07-16
"1469","FemaleJ","Adult","No",1999-07-19
"1469","FemaleJ","Adult","No",1999-08-12
"1469","FemaleJ","Adult","No",1999-08-18
"1470","FemaleJ","Adult","No",1998-07-22
"1470","FemaleJ","Adult","No",1998-07-26
"1470","FemaleJ","Adult","No",1998-07-28
"1470","FemaleJ","Adult","No",1998-08-08
"1470","FemaleJ","Adult","No",1999-07-13
"1470","FemaleJ","Adult","No",1999-07-15
"1470","FemaleJ","Adult","No",1999-07-16
"1470","FemaleJ","Adult","No",1999-08-12
"1470","FemaleJ","Adult","No",1999-08-18
"1470","FemaleJ","Adult","No",2003-08-29
"1472",NA,"Adult","Yes",1998-07-22
"1472",NA,"Adult","Yes",1998-07-25
"1472",NA,"Adult","Yes",1998-07-26
"1472",NA,"Adult","Yes",1998-07-27
"1472",NA,"Adult","Yes",1998-07-28
